Reference tree: ../data/appbio11/symmetric_2.0/symmetric_2.0.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s101.align.1.msl.nwk	4
s054.align.1.msl.nwk	6
s175.align.1.msl.nwk	4
s069.align.1.msl.nwk	4
s134.align.1.msl.nwk	6
s174.align.1.msl.nwk	4
s177.align.1.msl.nwk	10
s046.align.1.msl.nwk	4
s013.align.1.msl.nwk	10
s050.align.1.msl.nwk	6
s047.align.1.msl.nwk	10
s002.align.1.msl.nwk	8
s133.align.1.msl.nwk	4
s260.align.1.msl.nwk	10
s163.align.1.msl.nwk	6
s270.align.1.msl.nwk	6
s254.align.1.msl.nwk	14
s237.align.1.msl.nwk	6
s294.align.1.msl.nwk	4
s075.align.1.msl.nwk	6
s208.align.1.msl.nwk	14
s020.align.1.msl.nwk	10
s292.align.1.msl.nwk	6
s035.align.1.msl.nwk	10
s065.align.1.msl.nwk	2
s219.align.1.msl.nwk	12
s300.align.1.msl.nwk	4
s108.align.1.msl.nwk	6
s293.align.1.msl.nwk	10
s226.align.1.msl.nwk	4
s066.align.1.msl.nwk	6
s093.align.1.msl.nwk	6
s269.align.1.msl.nwk	10
s109.align.1.msl.nwk	8
s019.align.1.msl.nwk	2
s014.align.1.msl.nwk	6
s257.align.1.msl.nwk	10
s165.align.1.msl.nwk	8
s039.align.1.msl.nwk	2
s273.align.1.msl.nwk	6
s040.align.1.msl.nwk	12
s032.align.1.msl.nwk	6
s125.align.1.msl.nwk	2
s197.align.1.msl.nwk	6
s246.align.1.msl.nwk	4
s298.align.1.msl.nwk	6
s142.align.1.msl.nwk	8
s058.align.1.msl.nwk	8
s081.align.1.msl.nwk	8
s156.align.1.msl.nwk	8
s285.align.1.msl.nwk	2
s089.align.1.msl.nwk	4
s216.align.1.msl.nwk	2
s105.align.1.msl.nwk	8
s082.align.1.msl.nwk	6
s244.align.1.msl.nwk	10
s179.align.1.msl.nwk	8
s102.align.1.msl.nwk	2
s009.align.1.msl.nwk	6
s088.align.1.msl.nwk	6
s195.align.1.msl.nwk	4
s169.align.1.msl.nwk	12
s113.align.1.msl.nwk	4
s252.align.1.msl.nwk	14
s256.align.1.msl.nwk	8
s063.align.1.msl.nwk	4
s018.align.1.msl.nwk	4
s228.align.1.msl.nwk	10
s180.align.1.msl.nwk	6
s100.align.1.msl.nwk	2
s291.align.1.msl.nwk	8
s107.align.1.msl.nwk	2
s204.align.1.msl.nwk	6
s031.align.1.msl.nwk	8
s008.align.1.msl.nwk	6
s029.align.1.msl.nwk	10
s120.align.1.msl.nwk	6
s245.align.1.msl.nwk	8
s274.align.1.msl.nwk	10
s249.align.1.msl.nwk	8
s079.align.1.msl.nwk	2
s272.align.1.msl.nwk	6
s190.align.1.msl.nwk	4
s122.align.1.msl.nwk	12
s275.align.1.msl.nwk	6
s080.align.1.msl.nwk	10
s182.align.1.msl.nwk	2
s076.align.1.msl.nwk	10
s103.align.1.msl.nwk	4
s028.align.1.msl.nwk	4
s232.align.1.msl.nwk	4
s187.align.1.msl.nwk	10
s159.align.1.msl.nwk	8
s235.align.1.msl.nwk	6
s015.align.1.msl.nwk	8
s086.align.1.msl.nwk	8
s106.align.1.msl.nwk	10
s220.align.1.msl.nwk	8
s161.align.1.msl.nwk	10
s209.align.1.msl.nwk	10
s104.align.1.msl.nwk	2
s193.align.1.msl.nwk	4
s095.align.1.msl.nwk	6
s217.align.1.msl.nwk	10
s084.align.1.msl.nwk	4
s299.align.1.msl.nwk	6
s188.align.1.msl.nwk	10
s201.align.1.msl.nwk	2
s198.align.1.msl.nwk	6
s290.align.1.msl.nwk	6
s211.align.1.msl.nwk	4
s136.align.1.msl.nwk	10
s194.align.1.msl.nwk	10
