Reference tree: ../data/appbio11/asymmetric_2.0/asymmetric_2.0.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s001.align.1.msl.output.nwk	16
s002.align.1.msl.output.nwk	18
s003.align.1.msl.output.nwk	18
s004.align.1.msl.output.nwk	16
s005.align.1.msl.output.nwk	12
s006.align.1.msl.output.nwk	18
s007.align.1.msl.output.nwk	8
s008.align.1.msl.output.nwk	10
s009.align.1.msl.output.nwk	12
s010.align.1.msl.output.nwk	10
s011.align.1.msl.output.nwk	16
s012.align.1.msl.output.nwk	14
s013.align.1.msl.output.nwk	14
s014.align.1.msl.output.nwk	16
s015.align.1.msl.output.nwk	12
s016.align.1.msl.output.nwk	18
s017.align.1.msl.output.nwk	10
s018.align.1.msl.output.nwk	10
s019.align.1.msl.output.nwk	10
s020.align.1.msl.output.nwk	10
s021.align.1.msl.output.nwk	14
s022.align.1.msl.output.nwk	16
s023.align.1.msl.output.nwk	16
s024.align.1.msl.output.nwk	8
s025.align.1.msl.output.nwk	12
s026.align.1.msl.output.nwk	12
s027.align.1.msl.output.nwk	10
s028.align.1.msl.output.nwk	10
s029.align.1.msl.output.nwk	10
s030.align.1.msl.output.nwk	12
s031.align.1.msl.output.nwk	12
s032.align.1.msl.output.nwk	10
s033.align.1.msl.output.nwk	12
s034.align.1.msl.output.nwk	12
s035.align.1.msl.output.nwk	12
s036.align.1.msl.output.nwk	12
s037.align.1.msl.output.nwk	16
s038.align.1.msl.output.nwk	16
s039.align.1.msl.output.nwk	8
s040.align.1.msl.output.nwk	14
s041.align.1.msl.output.nwk	10
s042.align.1.msl.output.nwk	14
s043.align.1.msl.output.nwk	14
s044.align.1.msl.output.nwk	14
s045.align.1.msl.output.nwk	12
s046.align.1.msl.output.nwk	12
s047.align.1.msl.output.nwk	12
s048.align.1.msl.output.nwk	16
s049.align.1.msl.output.nwk	14
s050.align.1.msl.output.nwk	12
s051.align.1.msl.output.nwk	6
s052.align.1.msl.output.nwk	8
s053.align.1.msl.output.nwk	12
s054.align.1.msl.output.nwk	16
s055.align.1.msl.output.nwk	14
s056.align.1.msl.output.nwk	14
s057.align.1.msl.output.nwk	14
s058.align.1.msl.output.nwk	12
s059.align.1.msl.output.nwk	10
s060.align.1.msl.output.nwk	6
s061.align.1.msl.output.nwk	8
s062.align.1.msl.output.nwk	12
s063.align.1.msl.output.nwk	14
s064.align.1.msl.output.nwk	12
s065.align.1.msl.output.nwk	10
s066.align.1.msl.output.nwk	10
s067.align.1.msl.output.nwk	12
s068.align.1.msl.output.nwk	12
s069.align.1.msl.output.nwk	18
s070.align.1.msl.output.nwk	10
s071.align.1.msl.output.nwk	10
s072.align.1.msl.output.nwk	10
s073.align.1.msl.output.nwk	12
s074.align.1.msl.output.nwk	20
s075.align.1.msl.output.nwk	12
s076.align.1.msl.output.nwk	10
s077.align.1.msl.output.nwk	16
s078.align.1.msl.output.nwk	8
s079.align.1.msl.output.nwk	8
s080.align.1.msl.output.nwk	14
s081.align.1.msl.output.nwk	6
s082.align.1.msl.output.nwk	12
s083.align.1.msl.output.nwk	10
s084.align.1.msl.output.nwk	14
s085.align.1.msl.output.nwk	10
s086.align.1.msl.output.nwk	16
s087.align.1.msl.output.nwk	6
s088.align.1.msl.output.nwk	10
s089.align.1.msl.output.nwk	8
s090.align.1.msl.output.nwk	10
s091.align.1.msl.output.nwk	14
s092.align.1.msl.output.nwk	18
s093.align.1.msl.output.nwk	16
s094.align.1.msl.output.nwk	18
s095.align.1.msl.output.nwk	16
s096.align.1.msl.output.nwk	10
s097.align.1.msl.output.nwk	14
s098.align.1.msl.output.nwk	14
s099.align.1.msl.output.nwk	10
s100.align.1.msl.output.nwk	14
s101.align.1.msl.output.nwk	12
s102.align.1.msl.output.nwk	12
s103.align.1.msl.output.nwk	14
s104.align.1.msl.output.nwk	14
s105.align.1.msl.output.nwk	8
s106.align.1.msl.output.nwk	14
s107.align.1.msl.output.nwk	12
s108.align.1.msl.output.nwk	10
s109.align.1.msl.output.nwk	18
s110.align.1.msl.output.nwk	14
s111.align.1.msl.output.nwk	6
s112.align.1.msl.output.nwk	8
s113.align.1.msl.output.nwk	14
s114.align.1.msl.output.nwk	12
s115.align.1.msl.output.nwk	16
s116.align.1.msl.output.nwk	14
s117.align.1.msl.output.nwk	10
s118.align.1.msl.output.nwk	10
s119.align.1.msl.output.nwk	6
s120.align.1.msl.output.nwk	10
s121.align.1.msl.output.nwk	10
s122.align.1.msl.output.nwk	10
s123.align.1.msl.output.nwk	10
s124.align.1.msl.output.nwk	10
s125.align.1.msl.output.nwk	14
s126.align.1.msl.output.nwk	16
s127.align.1.msl.output.nwk	14
s128.align.1.msl.output.nwk	14
s129.align.1.msl.output.nwk	16
s130.align.1.msl.output.nwk	10
s131.align.1.msl.output.nwk	8
s132.align.1.msl.output.nwk	16
s133.align.1.msl.output.nwk	10
s134.align.1.msl.output.nwk	8
s135.align.1.msl.output.nwk	8
s136.align.1.msl.output.nwk	12
s137.align.1.msl.output.nwk	8
s138.align.1.msl.output.nwk	8
s139.align.1.msl.output.nwk	14
s140.align.1.msl.output.nwk	10
s141.align.1.msl.output.nwk	12
s142.align.1.msl.output.nwk	12
s143.align.1.msl.output.nwk	14
s144.align.1.msl.output.nwk	20
s145.align.1.msl.output.nwk	16
s146.align.1.msl.output.nwk	14
s147.align.1.msl.output.nwk	8
s148.align.1.msl.output.nwk	10
s149.align.1.msl.output.nwk	6
s150.align.1.msl.output.nwk	6
s151.align.1.msl.output.nwk	12
s152.align.1.msl.output.nwk	8
s153.align.1.msl.output.nwk	10
s154.align.1.msl.output.nwk	12
s155.align.1.msl.output.nwk	16
s156.align.1.msl.output.nwk	8
s157.align.1.msl.output.nwk	8
s158.align.1.msl.output.nwk	10
s159.align.1.msl.output.nwk	8
s160.align.1.msl.output.nwk	8
s161.align.1.msl.output.nwk	6
s162.align.1.msl.output.nwk	8
s163.align.1.msl.output.nwk	8
s164.align.1.msl.output.nwk	12
s165.align.1.msl.output.nwk	6
s166.align.1.msl.output.nwk	8
s167.align.1.msl.output.nwk	4
s168.align.1.msl.output.nwk	12
s169.align.1.msl.output.nwk	8
s170.align.1.msl.output.nwk	10
s171.align.1.msl.output.nwk	12
s172.align.1.msl.output.nwk	10
s173.align.1.msl.output.nwk	12
s174.align.1.msl.output.nwk	12
s175.align.1.msl.output.nwk	10
s176.align.1.msl.output.nwk	20
s177.align.1.msl.output.nwk	14
s178.align.1.msl.output.nwk	12
s179.align.1.msl.output.nwk	12
s180.align.1.msl.output.nwk	10
s181.align.1.msl.output.nwk	14
s182.align.1.msl.output.nwk	14
s183.align.1.msl.output.nwk	12
s184.align.1.msl.output.nwk	10
s185.align.1.msl.output.nwk	10
s186.align.1.msl.output.nwk	12
s187.align.1.msl.output.nwk	8
s188.align.1.msl.output.nwk	12
s189.align.1.msl.output.nwk	14
s190.align.1.msl.output.nwk	14
s191.align.1.msl.output.nwk	20
s192.align.1.msl.output.nwk	10
s193.align.1.msl.output.nwk	4
s194.align.1.msl.output.nwk	6
s195.align.1.msl.output.nwk	12
s196.align.1.msl.output.nwk	10
s197.align.1.msl.output.nwk	12
s198.align.1.msl.output.nwk	18
s199.align.1.msl.output.nwk	12
s200.align.1.msl.output.nwk	10
s201.align.1.msl.output.nwk	12
s202.align.1.msl.output.nwk	12
s203.align.1.msl.output.nwk	10
s204.align.1.msl.output.nwk	10
s205.align.1.msl.output.nwk	8
s206.align.1.msl.output.nwk	12
s207.align.1.msl.output.nwk	16
s208.align.1.msl.output.nwk	16
s209.align.1.msl.output.nwk	14
s210.align.1.msl.output.nwk	8
s211.align.1.msl.output.nwk	20
s212.align.1.msl.output.nwk	10
s213.align.1.msl.output.nwk	12
s214.align.1.msl.output.nwk	8
s215.align.1.msl.output.nwk	6
s216.align.1.msl.output.nwk	10
s217.align.1.msl.output.nwk	16
s218.align.1.msl.output.nwk	10
s219.align.1.msl.output.nwk	16
s220.align.1.msl.output.nwk	10
s221.align.1.msl.output.nwk	18
s222.align.1.msl.output.nwk	14
s223.align.1.msl.output.nwk	6
s224.align.1.msl.output.nwk	14
s225.align.1.msl.output.nwk	14
s226.align.1.msl.output.nwk	10
s227.align.1.msl.output.nwk	14
s228.align.1.msl.output.nwk	10
s229.align.1.msl.output.nwk	20
s230.align.1.msl.output.nwk	8
s231.align.1.msl.output.nwk	16
s232.align.1.msl.output.nwk	10
s233.align.1.msl.output.nwk	4
s234.align.1.msl.output.nwk	8
s235.align.1.msl.output.nwk	16
s236.align.1.msl.output.nwk	6
s237.align.1.msl.output.nwk	14
s238.align.1.msl.output.nwk	10
s239.align.1.msl.output.nwk	12
s240.align.1.msl.output.nwk	12
s241.align.1.msl.output.nwk	14
s242.align.1.msl.output.nwk	10
s243.align.1.msl.output.nwk	16
s244.align.1.msl.output.nwk	14
s245.align.1.msl.output.nwk	18
s246.align.1.msl.output.nwk	10
s247.align.1.msl.output.nwk	14
s248.align.1.msl.output.nwk	14
s249.align.1.msl.output.nwk	18
s250.align.1.msl.output.nwk	8
s251.align.1.msl.output.nwk	12
s252.align.1.msl.output.nwk	8
s253.align.1.msl.output.nwk	8
s254.align.1.msl.output.nwk	12
s255.align.1.msl.output.nwk	12
s256.align.1.msl.output.nwk	12
s257.align.1.msl.output.nwk	14
s258.align.1.msl.output.nwk	8
s259.align.1.msl.output.nwk	16
s260.align.1.msl.output.nwk	14
s261.align.1.msl.output.nwk	14
s262.align.1.msl.output.nwk	12
s263.align.1.msl.output.nwk	10
s264.align.1.msl.output.nwk	10
s265.align.1.msl.output.nwk	6
s266.align.1.msl.output.nwk	12
s267.align.1.msl.output.nwk	8
s268.align.1.msl.output.nwk	10
s269.align.1.msl.output.nwk	10
s270.align.1.msl.output.nwk	20
s271.align.1.msl.output.nwk	14
s272.align.1.msl.output.nwk	12
s273.align.1.msl.output.nwk	10
s274.align.1.msl.output.nwk	18
s275.align.1.msl.output.nwk	8
s276.align.1.msl.output.nwk	12
s277.align.1.msl.output.nwk	12
s278.align.1.msl.output.nwk	12
s279.align.1.msl.output.nwk	12
s280.align.1.msl.output.nwk	14
s281.align.1.msl.output.nwk	14
s282.align.1.msl.output.nwk	10
s283.align.1.msl.output.nwk	20
s284.align.1.msl.output.nwk	10
s285.align.1.msl.output.nwk	12
s286.align.1.msl.output.nwk	10
s287.align.1.msl.output.nwk	10
s288.align.1.msl.output.nwk	10
s289.align.1.msl.output.nwk	18
s290.align.1.msl.output.nwk	10
s291.align.1.msl.output.nwk	16
s292.align.1.msl.output.nwk	10
s293.align.1.msl.output.nwk	10
s294.align.1.msl.output.nwk	14
s295.align.1.msl.output.nwk	20
s296.align.1.msl.output.nwk	10
s297.align.1.msl.output.nwk	18
s298.align.1.msl.output.nwk	12
s299.align.1.msl.output.nwk	16
s300.align.1.msl.output.nwk	10
