Reference tree: ../data/appbio11/symmetric_2.0/symmetric_2.0.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s001.align.1.msl.output.nwk	4
s002.align.1.msl.output.nwk	10
s003.align.1.msl.output.nwk	6
s004.align.1.msl.output.nwk	4
s005.align.1.msl.output.nwk	2
s006.align.1.msl.output.nwk	6
s007.align.1.msl.output.nwk	2
s008.align.1.msl.output.nwk	6
s009.align.1.msl.output.nwk	6
s010.align.1.msl.output.nwk	4
s011.align.1.msl.output.nwk	6
s012.align.1.msl.output.nwk	10
s013.align.1.msl.output.nwk	10
s014.align.1.msl.output.nwk	8
s015.align.1.msl.output.nwk	8
s016.align.1.msl.output.nwk	10
s017.align.1.msl.output.nwk	8
s018.align.1.msl.output.nwk	6
s019.align.1.msl.output.nwk	4
s020.align.1.msl.output.nwk	4
s021.align.1.msl.output.nwk	6
s022.align.1.msl.output.nwk	4
s023.align.1.msl.output.nwk	6
s024.align.1.msl.output.nwk	10
s025.align.1.msl.output.nwk	8
s026.align.1.msl.output.nwk	6
s027.align.1.msl.output.nwk	10
s028.align.1.msl.output.nwk	0
s029.align.1.msl.output.nwk	10
s030.align.1.msl.output.nwk	10
s031.align.1.msl.output.nwk	8
s032.align.1.msl.output.nwk	2
s033.align.1.msl.output.nwk	4
s034.align.1.msl.output.nwk	8
s035.align.1.msl.output.nwk	10
s036.align.1.msl.output.nwk	10
s037.align.1.msl.output.nwk	6
s038.align.1.msl.output.nwk	6
s039.align.1.msl.output.nwk	2
s040.align.1.msl.output.nwk	10
s041.align.1.msl.output.nwk	8
s042.align.1.msl.output.nwk	4
s043.align.1.msl.output.nwk	6
s044.align.1.msl.output.nwk	2
s045.align.1.msl.output.nwk	2
s046.align.1.msl.output.nwk	4
s047.align.1.msl.output.nwk	8
s048.align.1.msl.output.nwk	2
s049.align.1.msl.output.nwk	6
s050.align.1.msl.output.nwk	14
s051.align.1.msl.output.nwk	0
s052.align.1.msl.output.nwk	10
s053.align.1.msl.output.nwk	6
s054.align.1.msl.output.nwk	4
s055.align.1.msl.output.nwk	10
s056.align.1.msl.output.nwk	4
s057.align.1.msl.output.nwk	4
s058.align.1.msl.output.nwk	8
s059.align.1.msl.output.nwk	0
s060.align.1.msl.output.nwk	6
s061.align.1.msl.output.nwk	10
s062.align.1.msl.output.nwk	6
s063.align.1.msl.output.nwk	6
s064.align.1.msl.output.nwk	8
s065.align.1.msl.output.nwk	4
s066.align.1.msl.output.nwk	8
s067.align.1.msl.output.nwk	0
s068.align.1.msl.output.nwk	4
s069.align.1.msl.output.nwk	0
s070.align.1.msl.output.nwk	10
s071.align.1.msl.output.nwk	10
s072.align.1.msl.output.nwk	10
s073.align.1.msl.output.nwk	10
s074.align.1.msl.output.nwk	4
s075.align.1.msl.output.nwk	2
s076.align.1.msl.output.nwk	10
s077.align.1.msl.output.nwk	12
s078.align.1.msl.output.nwk	8
s079.align.1.msl.output.nwk	6
s080.align.1.msl.output.nwk	10
s081.align.1.msl.output.nwk	6
s082.align.1.msl.output.nwk	6
s083.align.1.msl.output.nwk	4
s084.align.1.msl.output.nwk	8
s085.align.1.msl.output.nwk	8
s086.align.1.msl.output.nwk	8
s087.align.1.msl.output.nwk	6
