Reference tree: ../data/appbio11/asymmetric_2.0/asymmetric_2.0.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s001.align.1.msl.msl.nwk	10
s002.align.1.msl.msl.nwk	12
s003.align.1.msl.msl.nwk	10
s004.align.1.msl.msl.nwk	12
s005.align.1.msl.msl.nwk	12
s006.align.1.msl.msl.nwk	14
s007.align.1.msl.msl.nwk	10
s008.align.1.msl.msl.nwk	14
s009.align.1.msl.msl.nwk	14
s010.align.1.msl.msl.nwk	10
s011.align.1.msl.msl.nwk	16
s012.align.1.msl.msl.nwk	10
s013.align.1.msl.msl.nwk	8
s014.align.1.msl.msl.nwk	14
s015.align.1.msl.msl.nwk	10
s016.align.1.msl.msl.nwk	18
s017.align.1.msl.msl.nwk	10
s018.align.1.msl.msl.nwk	4
s019.align.1.msl.msl.nwk	8
s020.align.1.msl.msl.nwk	12
s021.align.1.msl.msl.nwk	10
s022.align.1.msl.msl.nwk	14
s023.align.1.msl.msl.nwk	14
s024.align.1.msl.msl.nwk	12
s025.align.1.msl.msl.nwk	8
s026.align.1.msl.msl.nwk	4
s027.align.1.msl.msl.nwk	10
s028.align.1.msl.msl.nwk	10
s029.align.1.msl.msl.nwk	8
s030.align.1.msl.msl.nwk	6
s031.align.1.msl.msl.nwk	8
s032.align.1.msl.msl.nwk	10
s033.align.1.msl.msl.nwk	6
s034.align.1.msl.msl.nwk	12
s035.align.1.msl.msl.nwk	10
s036.align.1.msl.msl.nwk	14
s037.align.1.msl.msl.nwk	20
s038.align.1.msl.msl.nwk	10
s039.align.1.msl.msl.nwk	12
s040.align.1.msl.msl.nwk	14
s041.align.1.msl.msl.nwk	10
s042.align.1.msl.msl.nwk	10
s043.align.1.msl.msl.nwk	14
s044.align.1.msl.msl.nwk	12
s045.align.1.msl.msl.nwk	12
s046.align.1.msl.msl.nwk	8
s047.align.1.msl.msl.nwk	12
s048.align.1.msl.msl.nwk	14
s049.align.1.msl.msl.nwk	10
s050.align.1.msl.msl.nwk	12
s051.align.1.msl.msl.nwk	14
s052.align.1.msl.msl.nwk	4
s053.align.1.msl.msl.nwk	12
s054.align.1.msl.msl.nwk	16
