Reference tree: ../data/appbio11/symmetric_0.5/symmetric_0.5.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s001.align.1.msl.msl.nwk	2
s002.align.1.msl.msl.nwk	4
s003.align.1.msl.msl.nwk	6
s004.align.1.msl.msl.nwk	2
s005.align.1.msl.msl.nwk	6
s006.align.1.msl.msl.nwk	2
s007.align.1.msl.msl.nwk	6
s008.align.1.msl.msl.nwk	6
s009.align.1.msl.msl.nwk	4
s010.align.1.msl.msl.nwk	6
s011.align.1.msl.msl.nwk	2
s012.align.1.msl.msl.nwk	2
s013.align.1.msl.msl.nwk	4
s014.align.1.msl.msl.nwk	8
s015.align.1.msl.msl.nwk	4
s016.align.1.msl.msl.nwk	4
s017.align.1.msl.msl.nwk	10
s018.align.1.msl.msl.nwk	4
s019.align.1.msl.msl.nwk	6
s020.align.1.msl.msl.nwk	6
s021.align.1.msl.msl.nwk	6
s022.align.1.msl.msl.nwk	8
s023.align.1.msl.msl.nwk	4
s024.align.1.msl.msl.nwk	6
s025.align.1.msl.msl.nwk	6
s026.align.1.msl.msl.nwk	4
s027.align.1.msl.msl.nwk	4
s028.align.1.msl.msl.nwk	2
s029.align.1.msl.msl.nwk	4
s030.align.1.msl.msl.nwk	4
s031.align.1.msl.msl.nwk	4
s032.align.1.msl.msl.nwk	2
s033.align.1.msl.msl.nwk	0
s034.align.1.msl.msl.nwk	2
s035.align.1.msl.msl.nwk	4
s036.align.1.msl.msl.nwk	2
s037.align.1.msl.msl.nwk	0
s038.align.1.msl.msl.nwk	2
s039.align.1.msl.msl.nwk	4
s040.align.1.msl.msl.nwk	4
s041.align.1.msl.msl.nwk	6
s042.align.1.msl.msl.nwk	4
s043.align.1.msl.msl.nwk	4
s044.align.1.msl.msl.nwk	4
s045.align.1.msl.msl.nwk	6
s046.align.1.msl.msl.nwk	2
s047.align.1.msl.msl.nwk	2
s048.align.1.msl.msl.nwk	0
s049.align.1.msl.msl.nwk	2
s050.align.1.msl.msl.nwk	6
s051.align.1.msl.msl.nwk	0
s052.align.1.msl.msl.nwk	2
s053.align.1.msl.msl.nwk	0
s054.align.1.msl.msl.nwk	4
s055.align.1.msl.msl.nwk	4
s056.align.1.msl.msl.nwk	6
s057.align.1.msl.msl.nwk	6
s058.align.1.msl.msl.nwk	2
s059.align.1.msl.msl.nwk	2
s060.align.1.msl.msl.nwk	8
s061.align.1.msl.msl.nwk	4
s062.align.1.msl.msl.nwk	6
s063.align.1.msl.msl.nwk	4
s064.align.1.msl.msl.nwk	2
s065.align.1.msl.msl.nwk	4
s066.align.1.msl.msl.nwk	2
s067.align.1.msl.msl.nwk	2
s068.align.1.msl.msl.nwk	8
s069.align.1.msl.msl.nwk	2
s070.align.1.msl.msl.nwk	4
s071.align.1.msl.msl.nwk	4
s072.align.1.msl.msl.nwk	2
s073.align.1.msl.msl.nwk	0
s074.align.1.msl.msl.nwk	2
s075.align.1.msl.msl.nwk	4
s076.align.1.msl.msl.nwk	2
s077.align.1.msl.msl.nwk	2
s078.align.1.msl.msl.nwk	8
s079.align.1.msl.msl.nwk	6
s080.align.1.msl.msl.nwk	8
s081.align.1.msl.msl.nwk	2
s082.align.1.msl.msl.nwk	2
s083.align.1.msl.msl.nwk	4
s084.align.1.msl.msl.nwk	4
s085.align.1.msl.msl.nwk	4
s086.align.1.msl.msl.nwk	6
s087.align.1.msl.msl.nwk	4
s088.align.1.msl.msl.nwk	2
s089.align.1.msl.msl.nwk	6
s090.align.1.msl.msl.nwk	6
s091.align.1.msl.msl.nwk	2
s092.align.1.msl.msl.nwk	2
s093.align.1.msl.msl.nwk	2
s094.align.1.msl.msl.nwk	4
s095.align.1.msl.msl.nwk	6
s096.align.1.msl.msl.nwk	2
s097.align.1.msl.msl.nwk	4
s098.align.1.msl.msl.nwk	4
s099.align.1.msl.msl.nwk	4
s100.align.1.msl.msl.nwk	0
s101.align.1.msl.msl.nwk	6
s102.align.1.msl.msl.nwk	8
s103.align.1.msl.msl.nwk	2
s104.align.1.msl.msl.nwk	2
s105.align.1.msl.msl.nwk	2
s106.align.1.msl.msl.nwk	2
s107.align.1.msl.msl.nwk	2
s108.align.1.msl.msl.nwk	4
s109.align.1.msl.msl.nwk	4
s110.align.1.msl.msl.nwk	6
s111.align.1.msl.msl.nwk	2
s112.align.1.msl.msl.nwk	2
s113.align.1.msl.msl.nwk	4
s114.align.1.msl.msl.nwk	8
s115.align.1.msl.msl.nwk	4
s116.align.1.msl.msl.nwk	8
s117.align.1.msl.msl.nwk	4
s118.align.1.msl.msl.nwk	4
s119.align.1.msl.msl.nwk	2
s120.align.1.msl.msl.nwk	2
s121.align.1.msl.msl.nwk	4
s122.align.1.msl.msl.nwk	2
s123.align.1.msl.msl.nwk	4
s124.align.1.msl.msl.nwk	8
s125.align.1.msl.msl.nwk	6
s126.align.1.msl.msl.nwk	6
s127.align.1.msl.msl.nwk	6
s128.align.1.msl.msl.nwk	6
s129.align.1.msl.msl.nwk	0
s130.align.1.msl.msl.nwk	0
s131.align.1.msl.msl.nwk	8
s132.align.1.msl.msl.nwk	4
s133.align.1.msl.msl.nwk	6
s134.align.1.msl.msl.nwk	6
s135.align.1.msl.msl.nwk	6
s136.align.1.msl.msl.nwk	2
s137.align.1.msl.msl.nwk	2
s138.align.1.msl.msl.nwk	8
s139.align.1.msl.msl.nwk	6
s140.align.1.msl.msl.nwk	2
s141.align.1.msl.msl.nwk	4
