Reference tree: appbio11/asymmetric_0.5/asymmetric_0.5.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s001.align.1.msl.txt.nwk	6
s002.align.1.msl.txt.nwk	8
s003.align.1.msl.txt.nwk	6
s004.align.1.msl.txt.nwk	6
s005.align.1.msl.txt.nwk	6
s006.align.1.msl.txt.nwk	16
s007.align.1.msl.txt.nwk	8
s008.align.1.msl.txt.nwk	4
s009.align.1.msl.txt.nwk	12
s010.align.1.msl.txt.nwk	6
s011.align.1.msl.txt.nwk	10
s012.align.1.msl.txt.nwk	6
s013.align.1.msl.txt.nwk	10
s014.align.1.msl.txt.nwk	10
s015.align.1.msl.txt.nwk	10
s016.align.1.msl.txt.nwk	10
s017.align.1.msl.txt.nwk	8
s018.align.1.msl.txt.nwk	12
s019.align.1.msl.txt.nwk	4
s020.align.1.msl.txt.nwk	6
s021.align.1.msl.txt.nwk	6
s022.align.1.msl.txt.nwk	2
s023.align.1.msl.txt.nwk	8
s024.align.1.msl.txt.nwk	10
s025.align.1.msl.txt.nwk	2
s026.align.1.msl.txt.nwk	10
s027.align.1.msl.txt.nwk	4
s028.align.1.msl.txt.nwk	6
s029.align.1.msl.txt.nwk	4
s030.align.1.msl.txt.nwk	8
s031.align.1.msl.txt.nwk	2
s032.align.1.msl.txt.nwk	10
s033.align.1.msl.txt.nwk	6
s034.align.1.msl.txt.nwk	10
s035.align.1.msl.txt.nwk	12
s036.align.1.msl.txt.nwk	8
s037.align.1.msl.txt.nwk	2
s038.align.1.msl.txt.nwk	10
s039.align.1.msl.txt.nwk	10
s040.align.1.msl.txt.nwk	4
s041.align.1.msl.txt.nwk	2
s042.align.1.msl.txt.nwk	6
s043.align.1.msl.txt.nwk	4
s044.align.1.msl.txt.nwk	18
s045.align.1.msl.txt.nwk	8
s046.align.1.msl.txt.nwk	4
s047.align.1.msl.txt.nwk	4
s048.align.1.msl.txt.nwk	6
s049.align.1.msl.txt.nwk	8
s050.align.1.msl.txt.nwk	6
s051.align.1.msl.txt.nwk	4
s052.align.1.msl.txt.nwk	10
s053.align.1.msl.txt.nwk	6
s054.align.1.msl.txt.nwk	8
s055.align.1.msl.txt.nwk	6
s056.align.1.msl.txt.nwk	6
s057.align.1.msl.txt.nwk	8
s058.align.1.msl.txt.nwk	4
s059.align.1.msl.txt.nwk	8
s060.align.1.msl.txt.nwk	8
s061.align.1.msl.txt.nwk	12
s062.align.1.msl.txt.nwk	4
s063.align.1.msl.txt.nwk	4
s064.align.1.msl.txt.nwk	6
s065.align.1.msl.txt.nwk	12
s066.align.1.msl.txt.nwk	6
s067.align.1.msl.txt.nwk	6
s068.align.1.msl.txt.nwk	8
s069.align.1.msl.txt.nwk	8
s070.align.1.msl.txt.nwk	4
s071.align.1.msl.txt.nwk	8
s072.align.1.msl.txt.nwk	12
s073.align.1.msl.txt.nwk	8
s074.align.1.msl.txt.nwk	10
s075.align.1.msl.txt.nwk	6
s076.align.1.msl.txt.nwk	14
s077.align.1.msl.txt.nwk	6
s078.align.1.msl.txt.nwk	8
s079.align.1.msl.txt.nwk	8
s080.align.1.msl.txt.nwk	8
s081.align.1.msl.txt.nwk	6
s082.align.1.msl.txt.nwk	8
s083.align.1.msl.txt.nwk	0
s084.align.1.msl.txt.nwk	8
s085.align.1.msl.txt.nwk	12
s086.align.1.msl.txt.nwk	6
s087.align.1.msl.txt.nwk	4
s088.align.1.msl.txt.nwk	8
s089.align.1.msl.txt.nwk	4
s090.align.1.msl.txt.nwk	10
s091.align.1.msl.txt.nwk	8
s092.align.1.msl.txt.nwk	14
s093.align.1.msl.txt.nwk	10
s094.align.1.msl.txt.nwk	4
s095.align.1.msl.txt.nwk	10
s096.align.1.msl.txt.nwk	10
s097.align.1.msl.txt.nwk	8
s098.align.1.msl.txt.nwk	14
s099.align.1.msl.txt.nwk	4
s100.align.1.msl.txt.nwk	10
s101.align.1.msl.txt.nwk	12
s102.align.1.msl.txt.nwk	16
s103.align.1.msl.txt.nwk	12
s104.align.1.msl.txt.nwk	10
s105.align.1.msl.txt.nwk	6
s106.align.1.msl.txt.nwk	8
s107.align.1.msl.txt.nwk	6
s108.align.1.msl.txt.nwk	12
s109.align.1.msl.txt.nwk	6
s110.align.1.msl.txt.nwk	6
s111.align.1.msl.txt.nwk	8
s112.align.1.msl.txt.nwk	12
s113.align.1.msl.txt.nwk	12
s114.align.1.msl.txt.nwk	10
s115.align.1.msl.txt.nwk	12
s116.align.1.msl.txt.nwk	4
s117.align.1.msl.txt.nwk	10
s118.align.1.msl.txt.nwk	12
s119.align.1.msl.txt.nwk	8
s120.align.1.msl.txt.nwk	4
s121.align.1.msl.txt.nwk	12
s122.align.1.msl.txt.nwk	8
s123.align.1.msl.txt.nwk	10
s124.align.1.msl.txt.nwk	4
s125.align.1.msl.txt.nwk	8
s126.align.1.msl.txt.nwk	6
s127.align.1.msl.txt.nwk	12
s128.align.1.msl.txt.nwk	10
s129.align.1.msl.txt.nwk	12
s130.align.1.msl.txt.nwk	10
s131.align.1.msl.txt.nwk	8
s132.align.1.msl.txt.nwk	8
s133.align.1.msl.txt.nwk	6
s134.align.1.msl.txt.nwk	12
s135.align.1.msl.txt.nwk	12
s136.align.1.msl.txt.nwk	8
s137.align.1.msl.txt.nwk	14
s138.align.1.msl.txt.nwk	8
s139.align.1.msl.txt.nwk	6
s140.align.1.msl.txt.nwk	6
s141.align.1.msl.txt.nwk	4
s142.align.1.msl.txt.nwk	14
s143.align.1.msl.txt.nwk	2
s144.align.1.msl.txt.nwk	6
s145.align.1.msl.txt.nwk	4
s146.align.1.msl.txt.nwk	4
s147.align.1.msl.txt.nwk	2
s148.align.1.msl.txt.nwk	12
s149.align.1.msl.txt.nwk	8
s150.align.1.msl.txt.nwk	16
s151.align.1.msl.txt.nwk	8
s152.align.1.msl.txt.nwk	6
s153.align.1.msl.txt.nwk	4
s154.align.1.msl.txt.nwk	10
s155.align.1.msl.txt.nwk	16
s156.align.1.msl.txt.nwk	8
s157.align.1.msl.txt.nwk	6
s158.align.1.msl.txt.nwk	12
s159.align.1.msl.txt.nwk	4
s160.align.1.msl.txt.nwk	4
s161.align.1.msl.txt.nwk	10
s162.align.1.msl.txt.nwk	8
s163.align.1.msl.txt.nwk	6
s164.align.1.msl.txt.nwk	10
s165.align.1.msl.txt.nwk	4
s166.align.1.msl.txt.nwk	8
s167.align.1.msl.txt.nwk	4
s168.align.1.msl.txt.nwk	8
s169.align.1.msl.txt.nwk	6
s170.align.1.msl.txt.nwk	8
s171.align.1.msl.txt.nwk	8
s172.align.1.msl.txt.nwk	8
s173.align.1.msl.txt.nwk	14
s174.align.1.msl.txt.nwk	16
s175.align.1.msl.txt.nwk	10
s176.align.1.msl.txt.nwk	8
s177.align.1.msl.txt.nwk	12
s178.align.1.msl.txt.nwk	6
s179.align.1.msl.txt.nwk	2
s180.align.1.msl.txt.nwk	6
s181.align.1.msl.txt.nwk	10
s182.align.1.msl.txt.nwk	14
s183.align.1.msl.txt.nwk	10
s184.align.1.msl.txt.nwk	8
s185.align.1.msl.txt.nwk	14
s186.align.1.msl.txt.nwk	4
s187.align.1.msl.txt.nwk	12
s188.align.1.msl.txt.nwk	8
s189.align.1.msl.txt.nwk	8
s190.align.1.msl.txt.nwk	6
s191.align.1.msl.txt.nwk	10
s192.align.1.msl.txt.nwk	10
s193.align.1.msl.txt.nwk	6
s194.align.1.msl.txt.nwk	6
s195.align.1.msl.txt.nwk	12
s196.align.1.msl.txt.nwk	8
s197.align.1.msl.txt.nwk	8
s198.align.1.msl.txt.nwk	4
s199.align.1.msl.txt.nwk	6
s200.align.1.msl.txt.nwk	10
s201.align.1.msl.txt.nwk	12
s202.align.1.msl.txt.nwk	12
s203.align.1.msl.txt.nwk	14
s204.align.1.msl.txt.nwk	6
s205.align.1.msl.txt.nwk	12
s206.align.1.msl.txt.nwk	16
s207.align.1.msl.txt.nwk	8
s208.align.1.msl.txt.nwk	8
s209.align.1.msl.txt.nwk	10
s210.align.1.msl.txt.nwk	12
s211.align.1.msl.txt.nwk	4
s212.align.1.msl.txt.nwk	10
s213.align.1.msl.txt.nwk	16
s214.align.1.msl.txt.nwk	8
s215.align.1.msl.txt.nwk	4
s216.align.1.msl.txt.nwk	8
s217.align.1.msl.txt.nwk	10
s218.align.1.msl.txt.nwk	16
s219.align.1.msl.txt.nwk	12
s220.align.1.msl.txt.nwk	8
s221.align.1.msl.txt.nwk	4
s222.align.1.msl.txt.nwk	6
s223.align.1.msl.txt.nwk	4
s224.align.1.msl.txt.nwk	10
s225.align.1.msl.txt.nwk	6
s226.align.1.msl.txt.nwk	10
s227.align.1.msl.txt.nwk	6
s228.align.1.msl.txt.nwk	6
s229.align.1.msl.txt.nwk	12
s230.align.1.msl.txt.nwk	16
s231.align.1.msl.txt.nwk	14
s232.align.1.msl.txt.nwk	4
s233.align.1.msl.txt.nwk	4
s234.align.1.msl.txt.nwk	8
s235.align.1.msl.txt.nwk	10
s236.align.1.msl.txt.nwk	6
s237.align.1.msl.txt.nwk	10
s238.align.1.msl.txt.nwk	8
s239.align.1.msl.txt.nwk	4
s240.align.1.msl.txt.nwk	8
s241.align.1.msl.txt.nwk	14
s242.align.1.msl.txt.nwk	6
s243.align.1.msl.txt.nwk	16
s244.align.1.msl.txt.nwk	8
s245.align.1.msl.txt.nwk	8
s246.align.1.msl.txt.nwk	10
s247.align.1.msl.txt.nwk	8
s248.align.1.msl.txt.nwk	14
s249.align.1.msl.txt.nwk	4
s250.align.1.msl.txt.nwk	10
s251.align.1.msl.txt.nwk	10
s252.align.1.msl.txt.nwk	12
