Reference tree: appbio11/symmetric_1.0/symmetric_1.0.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s001.align.1.msl.txt.nwk	6
s002.align.1.msl.txt.nwk	6
s003.align.1.msl.txt.nwk	4
s004.align.1.msl.txt.nwk	4
s005.align.1.msl.txt.nwk	6
s006.align.1.msl.txt.nwk	6
s007.align.1.msl.txt.nwk	6
s008.align.1.msl.txt.nwk	10
s009.align.1.msl.txt.nwk	2
s010.align.1.msl.txt.nwk	6
s011.align.1.msl.txt.nwk	4
s012.align.1.msl.txt.nwk	8
s013.align.1.msl.txt.nwk	8
s014.align.1.msl.txt.nwk	6
s015.align.1.msl.txt.nwk	4
s016.align.1.msl.txt.nwk	4
s017.align.1.msl.txt.nwk	6
s018.align.1.msl.txt.nwk	4
s019.align.1.msl.txt.nwk	6
s020.align.1.msl.txt.nwk	6
s021.align.1.msl.txt.nwk	4
s022.align.1.msl.txt.nwk	0
s023.align.1.msl.txt.nwk	6
s024.align.1.msl.txt.nwk	10
s025.align.1.msl.txt.nwk	8
s026.align.1.msl.txt.nwk	4
s027.align.1.msl.txt.nwk	0
s028.align.1.msl.txt.nwk	6
s029.align.1.msl.txt.nwk	8
s030.align.1.msl.txt.nwk	4
s031.align.1.msl.txt.nwk	4
s032.align.1.msl.txt.nwk	8
s033.align.1.msl.txt.nwk	10
s034.align.1.msl.txt.nwk	10
s035.align.1.msl.txt.nwk	6
s036.align.1.msl.txt.nwk	8
s037.align.1.msl.txt.nwk	8
s038.align.1.msl.txt.nwk	6
s039.align.1.msl.txt.nwk	10
s040.align.1.msl.txt.nwk	2
s041.align.1.msl.txt.nwk	4
s042.align.1.msl.txt.nwk	4
s043.align.1.msl.txt.nwk	6
s044.align.1.msl.txt.nwk	8
s045.align.1.msl.txt.nwk	4
s046.align.1.msl.txt.nwk	6
s047.align.1.msl.txt.nwk	4
s048.align.1.msl.txt.nwk	2
s049.align.1.msl.txt.nwk	6
s050.align.1.msl.txt.nwk	6
s051.align.1.msl.txt.nwk	10
s052.align.1.msl.txt.nwk	2
s053.align.1.msl.txt.nwk	6
s054.align.1.msl.txt.nwk	2
s055.align.1.msl.txt.nwk	6
s056.align.1.msl.txt.nwk	4
s057.align.1.msl.txt.nwk	8
s058.align.1.msl.txt.nwk	4
s059.align.1.msl.txt.nwk	6
s060.align.1.msl.txt.nwk	2
s061.align.1.msl.txt.nwk	8
s062.align.1.msl.txt.nwk	6
s063.align.1.msl.txt.nwk	4
s064.align.1.msl.txt.nwk	12
s065.align.1.msl.txt.nwk	4
s066.align.1.msl.txt.nwk	8
s067.align.1.msl.txt.nwk	2
s068.align.1.msl.txt.nwk	6
s069.align.1.msl.txt.nwk	4
s070.align.1.msl.txt.nwk	4
s071.align.1.msl.txt.nwk	6
s072.align.1.msl.txt.nwk	4
s073.align.1.msl.txt.nwk	6
s074.align.1.msl.txt.nwk	4
s075.align.1.msl.txt.nwk	2
s076.align.1.msl.txt.nwk	12
s077.align.1.msl.txt.nwk	4
s078.align.1.msl.txt.nwk	6
s079.align.1.msl.txt.nwk	6
s080.align.1.msl.txt.nwk	2
s081.align.1.msl.txt.nwk	2
s082.align.1.msl.txt.nwk	6
s083.align.1.msl.txt.nwk	6
s084.align.1.msl.txt.nwk	2
s085.align.1.msl.txt.nwk	10
s086.align.1.msl.txt.nwk	10
s087.align.1.msl.txt.nwk	6
s088.align.1.msl.txt.nwk	4
s089.align.1.msl.txt.nwk	2
s090.align.1.msl.txt.nwk	8
s091.align.1.msl.txt.nwk	8
s092.align.1.msl.txt.nwk	10
s093.align.1.msl.txt.nwk	6
s094.align.1.msl.txt.nwk	4
s095.align.1.msl.txt.nwk	6
s096.align.1.msl.txt.nwk	6
s097.align.1.msl.txt.nwk	6
s098.align.1.msl.txt.nwk	6
s099.align.1.msl.txt.nwk	8
s100.align.1.msl.txt.nwk	4
s101.align.1.msl.txt.nwk	10
s102.align.1.msl.txt.nwk	6
s103.align.1.msl.txt.nwk	8
s104.align.1.msl.txt.nwk	8
s105.align.1.msl.txt.nwk	4
s106.align.1.msl.txt.nwk	8
s107.align.1.msl.txt.nwk	12
s108.align.1.msl.txt.nwk	10
s109.align.1.msl.txt.nwk	6
s110.align.1.msl.txt.nwk	4
s111.align.1.msl.txt.nwk	8
s112.align.1.msl.txt.nwk	10
s113.align.1.msl.txt.nwk	10
s114.align.1.msl.txt.nwk	0
s115.align.1.msl.txt.nwk	6
s116.align.1.msl.txt.nwk	8
s117.align.1.msl.txt.nwk	10
s118.align.1.msl.txt.nwk	12
s119.align.1.msl.txt.nwk	2
s120.align.1.msl.txt.nwk	4
s121.align.1.msl.txt.nwk	0
s122.align.1.msl.txt.nwk	8
s123.align.1.msl.txt.nwk	4
s124.align.1.msl.txt.nwk	6
s125.align.1.msl.txt.nwk	2
s126.align.1.msl.txt.nwk	8
s127.align.1.msl.txt.nwk	4
s128.align.1.msl.txt.nwk	10
s129.align.1.msl.txt.nwk	4
s130.align.1.msl.txt.nwk	2
s131.align.1.msl.txt.nwk	4
s132.align.1.msl.txt.nwk	4
s133.align.1.msl.txt.nwk	4
s134.align.1.msl.txt.nwk	4
s135.align.1.msl.txt.nwk	2
s136.align.1.msl.txt.nwk	6
s137.align.1.msl.txt.nwk	8
s138.align.1.msl.txt.nwk	6
s139.align.1.msl.txt.nwk	4
s140.align.1.msl.txt.nwk	2
s141.align.1.msl.txt.nwk	10
s142.align.1.msl.txt.nwk	8
s143.align.1.msl.txt.nwk	6
s144.align.1.msl.txt.nwk	4
s145.align.1.msl.txt.nwk	10
s146.align.1.msl.txt.nwk	6
s147.align.1.msl.txt.nwk	4
s148.align.1.msl.txt.nwk	0
s149.align.1.msl.txt.nwk	12
s150.align.1.msl.txt.nwk	8
s151.align.1.msl.txt.nwk	8
s152.align.1.msl.txt.nwk	4
s153.align.1.msl.txt.nwk	6
s154.align.1.msl.txt.nwk	6
s155.align.1.msl.txt.nwk	6
s156.align.1.msl.txt.nwk	6
s157.align.1.msl.txt.nwk	6
s158.align.1.msl.txt.nwk	4
s159.align.1.msl.txt.nwk	6
s160.align.1.msl.txt.nwk	2
s161.align.1.msl.txt.nwk	8
s162.align.1.msl.txt.nwk	8
s163.align.1.msl.txt.nwk	10
s164.align.1.msl.txt.nwk	4
s165.align.1.msl.txt.nwk	6
s166.align.1.msl.txt.nwk	10
s167.align.1.msl.txt.nwk	6
s168.align.1.msl.txt.nwk	8
s169.align.1.msl.txt.nwk	2
s170.align.1.msl.txt.nwk	4
s171.align.1.msl.txt.nwk	2
s172.align.1.msl.txt.nwk	8
s173.align.1.msl.txt.nwk	6
s174.align.1.msl.txt.nwk	0
s175.align.1.msl.txt.nwk	4
s176.align.1.msl.txt.nwk	4
s177.align.1.msl.txt.nwk	4
s178.align.1.msl.txt.nwk	4
s179.align.1.msl.txt.nwk	2
s180.align.1.msl.txt.nwk	4
s181.align.1.msl.txt.nwk	4
s182.align.1.msl.txt.nwk	6
s183.align.1.msl.txt.nwk	14
s184.align.1.msl.txt.nwk	2
s185.align.1.msl.txt.nwk	8
s186.align.1.msl.txt.nwk	6
s187.align.1.msl.txt.nwk	4
s188.align.1.msl.txt.nwk	12
s189.align.1.msl.txt.nwk	6
s190.align.1.msl.txt.nwk	8
s191.align.1.msl.txt.nwk	8
s192.align.1.msl.txt.nwk	12
s193.align.1.msl.txt.nwk	4
s194.align.1.msl.txt.nwk	4
s195.align.1.msl.txt.nwk	2
s196.align.1.msl.txt.nwk	0
s197.align.1.msl.txt.nwk	4
s198.align.1.msl.txt.nwk	8
s199.align.1.msl.txt.nwk	4
s200.align.1.msl.txt.nwk	0
s201.align.1.msl.txt.nwk	2
s202.align.1.msl.txt.nwk	4
s203.align.1.msl.txt.nwk	2
s204.align.1.msl.txt.nwk	4
s205.align.1.msl.txt.nwk	4
s206.align.1.msl.txt.nwk	4
s207.align.1.msl.txt.nwk	8
s208.align.1.msl.txt.nwk	4
s209.align.1.msl.txt.nwk	6
s210.align.1.msl.txt.nwk	4
s211.align.1.msl.txt.nwk	6
s212.align.1.msl.txt.nwk	2
s213.align.1.msl.txt.nwk	6
s214.align.1.msl.txt.nwk	2
s215.align.1.msl.txt.nwk	2
s216.align.1.msl.txt.nwk	6
s217.align.1.msl.txt.nwk	6
s218.align.1.msl.txt.nwk	8
s219.align.1.msl.txt.nwk	8
s220.align.1.msl.txt.nwk	4
s221.align.1.msl.txt.nwk	6
s222.align.1.msl.txt.nwk	8
s223.align.1.msl.txt.nwk	4
s224.align.1.msl.txt.nwk	4
s225.align.1.msl.txt.nwk	10
s226.align.1.msl.txt.nwk	12
s227.align.1.msl.txt.nwk	14
s228.align.1.msl.txt.nwk	4
s229.align.1.msl.txt.nwk	8
s230.align.1.msl.txt.nwk	6
s231.align.1.msl.txt.nwk	4
s232.align.1.msl.txt.nwk	16
s233.align.1.msl.txt.nwk	8
s234.align.1.msl.txt.nwk	10
s235.align.1.msl.txt.nwk	8
s236.align.1.msl.txt.nwk	4
s237.align.1.msl.txt.nwk	6
s238.align.1.msl.txt.nwk	6
s239.align.1.msl.txt.nwk	4
s240.align.1.msl.txt.nwk	4
s241.align.1.msl.txt.nwk	2
s242.align.1.msl.txt.nwk	4
s243.align.1.msl.txt.nwk	4
s244.align.1.msl.txt.nwk	10
s245.align.1.msl.txt.nwk	4
s246.align.1.msl.txt.nwk	6
s247.align.1.msl.txt.nwk	8
s248.align.1.msl.txt.nwk	4
s249.align.1.msl.txt.nwk	10
s250.align.1.msl.txt.nwk	2
s251.align.1.msl.txt.nwk	8
s252.align.1.msl.txt.nwk	8
